id,nome,diametro_min_m,diametro_max_m,velocidade_km_s,distancia_km,ameaca
3742131,(2016 CF32),48.3676488219,108.1533506775,5.0538147456,63740736.80435285,False
3695648,(2014 UB192),70.5594158373,157.7756502649,6.0359622871,61383585.86323016,False
2374158,374158 (2004 UL),497.2273129092,1111.8340719346,31.4471932193,22365359.350677207,True
3476775,(2009 WB),36.3542321843,81.290534434,8.3100927807,12973504.961182602,False
3715997,(2015 HH),16.0160337979,35.8129403019,13.8284391692,54149485.67286308,False
3392369,(2007 VX6),203.495578117,455.0299457903,26.6063200552,12357137.337370005,False
2036183,36183 (1999 TX16),1460.6796427136,3266.1789744576,21.0140302119,20237736.43645531,False
2488693,488693 (2003 WW87),1092.8359586958,2443.6554919,27.0923183369,29497586.054416377,False
3586027,(2011 VU5),255.0086878569,570.2167609011,18.6733900372,14267732.383351723,True
3604484,(2012 KO11),32.851482781,73.4581486599,9.4221972898,2350169.791961476,False
3653693,(2013 VN13),37.7185489265,84.3412394123,9.4689134615,23134060.00218616,False
3662251,(2014 DG6),55.5334911581,124.1766612574,4.424750419,60721283.22608813,False
54051099,(2020 OQ7),161.6422833399,361.4431335863,2.0705633803,25091941.797931068,False
2791942,791942 (2020 OQ7),160.8996045096,359.7824532363,2.0705633768,25091941.812890854,False
3359024,(2006 WB),61.4546821229,137.4168467624,4.2037331705,891241.098837156,False
3463173,(2009 LU2),90.4804968225,202.3205415331,11.954201885,22065737.58586302,False
3547936,(2010 TM4),74.912618313,167.5097069204,6.2320636062,12433324.136689356,False
3076549,(2000 WX28),184.7374636151,413.0855266343,5.3017259125,27698931.50420678,False
3730333,(2015 TC179),16.7708462163,37.5007521798,10.4662160889,33962407.413528,False
3590076,(2011 XD),42.1264610556,94.1976305719,7.4739388109,64503379.11612148,False
3647027,(2013 RE6),132.6034967669,296.5104328249,5.7371236214,28641251.5690529,False
2688126,688126 (2012 JS17),162.3883902199,363.1114792885,12.8529519637,27841980.742407314,False
2837610,837610 (2013 RE6),133.8304618158,299.2540100804,5.7371239732,28641249.474682722,False
3410533,(2008 JL24),3.1956188672,7.1456210173,9.7836834046,34913663.97641474,False
3442841,(2008 YS27),149.4703242356,334.2258056097,7.7033879673,17402692.706051707,True
3460325,(2009 KY1),45.3476698997,101.400472517,5.5460395616,22605996.276047602,False
3656409,(2014 AA53),350.3926411083,783.5017643338,20.1068187305,28007302.605166424,False
2795994,795994 (2008 YS27),149.4703242356,334.2258056097,7.7033879558,17402692.721011493,True
54097969,(2020 XR),308.003021266,688.7156928262,12.3095763709,2209273.536386405,True
2792156,792156 (2020 XR),308.003021266,688.7156928262,12.3095763549,2209273.536386405,True
2447755,447755 (2007 JX2),306.5878759288,685.5513316542,12.2226071696,5532122.156620749,True
3788012,(2017 UV4),305.1792325939,682.4015094011,15.0191314092,28564760.87662043,False
3398066,(2007 XB23),10.1054341542,22.5964377109,4.6765695714,886339.330149375,False
3590266,(2011 XM1),322.5187564536,721.1738634489,12.6346994716,14449198.653763998,False
2797937,797937 (2011 XM1),322.5187564536,721.1738634489,12.6346994824,14449198.653763998,False
2159699,159699 (2002 PQ142),802.7031672829,1794.8988477988,20.0958783936,70365358.32290126,False
3575216,(2011 PW6),525.4785303417,1175.0057145608,19.3503048368,44020231.77210855,False
3102668,(2001 XP),140.1376971662,313.3574170739,19.3438629073,25437394.4260376,False
2458122,458122 (2010 EW45),821.4005259621,1836.7074128054,19.9438578541,8183511.82256226,True
3595636,(2012 AQ10),12.14940408,27.1668934089,15.3278145536,40466336.70659292,False
3712625,(2015 DC200),196.1349443683,438.5710683707,36.3351390852,22479880.604184058,True
3485807,(2010 AM60),47.7040198012,106.6694310755,9.4045620513,21293325.23168192,False
3654644,(2013 XS23),14.6067964271,32.6617897446,14.0559571647,63008318.03449627,False
2509821,509821 (2008 WQ63),244.655496172,547.0663205095,22.2554143214,25589449.23161533,True
3312036,(2006 AN8),34.241673084,76.5667086792,1.7957612231,26296260.0774419,False
54515073,(2024 YN26),33.5084991841,74.9272819996,1.7862588255,26184635.24813527,False
3076550,(2000 WL63),291.4439045349,651.6883821679,10.748387687,24721708.222819883,False
2612199,612199 (2000 WL63),278.3267680719,622.3575733667,10.7484381027,24721579.852887638,False
2377097,377097 (2002 WQ4),303.7770613871,679.2661592667,14.2836429061,12109537.887773218,True
3337315,(2006 MB14),22.1082810359,49.435619262,13.7619615446,30006797.14282201,False
3740934,(2016 BD15),152.9519353442,342.0109247198,25.9398250191,71450808.49855644,True
3989144,(2020 BC6),179.7028548592,401.8277992159,22.182959458,3683381.686023033,True
3553148,(2010 XB11),306.5878759288,685.5513316542,18.9395018272,19016653.471642926,False
3656933,(2014 BM25),6.3760978988,14.2573883328,15.3371937843,42733613.705436125,False
3485806,(2010 AL60),92.5880583366,207.0331923453,8.9892906844,9414482.23419549,False
2506491,506491 (2003 UW29),193.4438720459,432.5536477254,26.9373528737,17371524.962223362,True
3459429,(2009 JR),138.852907036,310.4845390059,9.7933235468,20426799.92997703,True
3724104,(2015 NS13),268.2594171192,599.846292283,11.5485581652,12016268.208482826,False
2803401,803401 (2015 NS13),268.2594171192,599.846292283,11.5485581742,12016268.447839418,False
3742059,(2016 CF31),119.8270800671,267.9414965754,14.3261753538,25935610.62451035,False
3702319,(2014 YD),36.8599699314,82.4213984152,4.7349231223,14974781.359067757,False
3797861,(2018 BM3),106.3053144865,237.7059095613,22.8423951082,21814630.844123658,True
3399548,(2008 AU28),26.2153087281,58.6192123671,10.7616544527,4811939.983897414,False
2000887,887 Alinda (A918 AA),4576.7266723128,10233.8719537278,8.2486988813,12296605.087478507,False
2451003,451003 (2008 UD1),336.1669211578,751.6920874957,14.1497502192,26800560.540965848,True
3485264,(2010 AL30),9.6506146958,21.5794304844,13.5818178365,19541496.47531868,False
3592306,(2012 AN10),79.1689666942,177.0271912367,11.4410706244,15258461.406382836,False
3674427,(2014 NA39),40.2304579834,89.9580388169,11.2324862565,70291378.95983206,False
3370495,(2007 EA26),178.8771952404,399.981568182,11.0685256598,21123091.54725817,False
3678248,(2014 OG300),36.6906137531,82.0427064882,11.0511773016,13764722.455772903,False
3752780,(2016 JW5),105.3307015051,235.5266086831,14.2370224289,9206432.018369963,True
54244790,(2022 CN1),133.2155666981,297.8790627982,15.1472494533,8870168.095353078,True
